rank,Video,Video views,Likes,Dislikes,Category,published,Category_encoded
1,Lil Nas X - Old Town Road (Official Movie) ft. Billy Ray Cyrus,0.008250956816759407,0.07872318836743517,0.44258658069444284,Music,2019,7
2,"20 Tennis shots if they were not filmed, NOBODY would believe them",0.0005232638113252205,0.0004184288395471479,0.004824704283259006,Music,2017,7
3,JoJo Siwa - Karma (Official Video),0.005217187137791403,0.006597850765812558,,Music,2024,7
4,David Kushner - Daylight (Official Music Video),0.0028273719714521956,0.015312357241263322,,Music,2023,7
5,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,1.0,0.9999999999999999,,Music,2015,7
6,JP Saxe - If the World Was Ending (Official Video) ft. Julia Michaels,0.011727291596507792,0.018094852753563376,0.11904494445130924,Music,2019,7
7,JENNIE - ZEN (RUBY ALBUM MARCH 7),0.0012616992398566626,0.028386176461637887,,Music,2025,7
8,"Polo G, Stunna 4 Vegas & NLE Choppa feat. Mike WiLL Made-It - Go Stupid (Official Video)",0.001122683527714939,0.007213384572972098,0.03642398984509273,Music,2020,7
9,"Yovie Widianto, Lyodra, Tiara Andini, Ziva Magnolya - Menyesal",0.0021151651128666327,0.010165952614138114,,Music,2023,7
10,JD Pantoja - 12•19 (Official Video),0.0010638150546398886,0.02311507598883806,0.19200525718650654,Music,2020,7
11,Power Star Pawan Kalyan Special Surprise To Sensational Singer Baby|Filmy Poster,7.902795508343462e-06,1.2919750075312689e-05,0.00046056548454858964,Entertainment,2018,3
12,Rels B - LA LATINA (Videoclip Oficial),0.000886763693372023,0.0034912585961354554,0.01968074948607632,Music,2019,7
13,"Luck Ra, Nicki Nicole - DOCTOR",0.0012585884886689715,0.0033534629341823814,,Music,2024,7
14,"Colapesce, Dimartino - Musica leggerissima (Official Video - Sanremo 2021)",0.0010551262099213216,0.002609091758675995,0.011564686983970073,Music,2021,7
15,Polo G - Flex (Official Audio) ft. Juice WRLD,0.0005803732568495896,0.0027521543570709207,0.0073297311870232865,Music,2020,7
16,"Kevin AMF, Tiagz - Maradona (Tatara) (Video Oficial)",0.0008722742422608553,0.0024946596865803683,,Music,2024,7
17,LILHUDDY - America's Sweetheart (Official Music Video),0.0004645323279804151,0.007779782814949744,0.06786039249165926,Music,2021,7
18,MILLION DOLLAR BABY,0.001809598752803956,0.005085564758739198,,Music,2024,7
19,Every Moment With You (너와의 모든 지금),0.0012085093499919768,0.0012260257606311537,,Music,2024,7
20,Jay Wheeler - Te La Dedico / For You (Official Video),0.0020951882838319085,0.002499859098196043,,Music,2023,7
21,KATSEYE - Touch (ft. YEONJUN of TOMORROW X TOGETHER),0.00034131273822296467,0.0037896057864634514,,Music,2024,7
22,"Ghetto Kids, Kenia OS, Malo - Toketeo (Video Oficial)",0.00024936009989468287,0.00474033283076856,0.042568607407240985,Music,2021,7
23,Polo G - Be Something (Official Audio) ft. Lil Baby,0.000404371844740513,0.0022406763070510504,0.013440648835667987,Music,2020,7
24,TEST γιανα δεις αν έχεις καλά ματιά,9.994645488369992e-05,0.00018013372796642414,0.00986284135204053,People & Blogs,2017,10
25,"GabyMusic,AnuelAA,LuarLa,Lunay,Bryant Myers - No Te Quieren Conmigo(Remix)",0.0008272061482090517,0.0035875940148154873,,Music,2024,7
26,Olivia Rodrigo - drivers license (Official Video),0.010412447366430471,0.08575704693587644,0.2726266835915121,Music,2021,7
27,Libianca - People (Visualiser) ft. Becky G,0.0008107496650738544,0.0025381456746387376,,Music,2023,7
28,Sofia Castro - Bien Por Ti (Official Video),0.0005149341637588675,0.004592475969715025,,Music,2022,7
29,Вкладчикам Югры в Центробанке не рады,2.4411203401939125e-05,0.00011071820665585908,0.00035384909178733104,News & Politics,2017,8
30,Kodak Black - Hit Stick,0.0003035379346478351,0.0019571170536559473,,Music,2024,7
31,Jay Wheeler - Xexo (Official Video),0.0007626691714355613,0.002086044455104364,,Music,2023,7
32,"6ix9ine - FEFE ft. Nicki Minaj, Murda Beatz",0.16660258978397788,0.202911224840925,,People & Blogs,2018,10
33,Ice Spice - in ha mood (Official Video),0.0005620430535356019,0.00361145278673157,,Music,2023,7
34,JD Pantoja - 12•19 (Trailer),0.00032067677019633715,0.007133300129125474,0.045803799103582295,Music,2020,7
35,PUN - DAY ONE,0.0007062694151825947,0.0021372507816223713,,Music,2024,7
36,Beéle - Si Te Interesa (Official Video),0.00021458150759901277,0.002111163690442428,0.005992967951382258,Music,2021,7
37,[Dandadan] Creepy Nuts - オトノケ(Otonoke) (Official Music Video),0.002121095225715474,0.009932069124534326,,Music,2024,7
38,Mulatto - No Hook (Official Video),0.0003196727897207183,0.0027742349752309936,0.010070657485312454,Music,2020,7
39,"Asake, Central Cee - Wave (Official Video)",0.0016393093695584475,0.0064639940520531776,,Music,2024,7
40,Aitch - Safe To Say,0.00019630979599816195,0.0018980328307505539,0.009823524786286382,Music,2020,7
41,Destroy Lonely - Look Killa (Short Film) (Short Film),0.00017550721058502694,0.0020117446380336196,,Music,2023,7
42,Cat mom hugs baby kitten,0.009134565317459344,0.007818001866566261,0.04612394828186608,Pets & Animals,2011,11
43,"Alex Ponce, BLANKO - La Sin Sentimientos (Official Video)",0.0003663404717709448,0.0019816735821091983,,Music,2024,7
44,Addison Rae - Aquamarine (Official Video),0.0003965209739905678,0.0030356911021906315,,Music,2024,7
45,ALYPH - SWIPE (ft. Dato Seri Vida) Official Music Video,0.0007026452197662712,0.0021004047348047983,,Music,2022,7
46,Natalie Jane - AVA (Lyric Video),0.00023630132859726595,0.001332219803933114,,Music,2022,7
47,紫 今 - 魔性の女A　Lyric Video,0.00023465775727408216,0.0013674452549224249,,Music,2024,7
48,Bunny Girl,0.00031792231448318504,0.0018187361765426677,,Music,2024,7
49,Morray - Trenches (Official Music Video),0.00019963557677357298,0.001298637457047458,0.005903101515372777,Music,2021,7
50,Luke Hemmings - Starting Line (Official Video),9.011434916110438e-05,0.0029043778235506067,0.0010053807528560676,Music,2021,7
51,"UMI, V - wherever u r (ft. V of BTS) official lyric video",0.0006457358372816131,0.011718978599671954,,Music,2023,7
52,"Si, Si Eres Tu",0.0015758212729046026,0.0075770282702138265,,Music,2023,7
53,7liwa - Rwicha (Official Music Video),0.0002471061072205638,0.0010156409105371682,,Music,2024,7
54,Kim Petras & Nicki Minaj - Alone (Official Music Video),0.0019685940429382013,0.006284670622000885,,Music,2023,7
55,Eden Muñoz - ¿CÓMO TE FUE SIN MÍ?,0.00027529911295255313,0.0007178114105432003,,Music,2024,7
56,"Camilo, Pedro Capó - Tutu (Official Video)",0.00022536902887613703,0.007183291008772285,0.013260915963649025,Music,2019,7
57,Trueno - REAL GANGSTA LOVE (Visualizer),0.0004633971611299017,0.002464723680308302,,Music,2024,7
58,Rhapsody of Sadness,0.0005138973485095556,0.0004171908844005587,,Music,2023,7
59,Dani Ribba - Solo Una Vez (Official Video),6.552293630354762e-05,0.0024135623703410796,0.0014771795419058424,Music,2021,7
60,Roger Federer / Bill Gates vs John Isner / Mike McCready - Match for Africa 4 Highlights,7.174092612174392e-05,5.197160788135365e-05,0.0003875490052908864,Sports,2017,13
61,"Pedro Capó, Farruko - Calma (Remix - Official Video)",0.4526846367666905,0.3096059197124415,,Music,2018,7
62,Chica Atractiva,0.00039606632691482744,0.0007527217456770156,,Music,2025,7
63,SuperM - With You,0.00010473605568631008,0.004841552545208771,0.0021287112029745787,Music,2020,7
64,"Eladio Carrión - Quizás, Tal Vez (Live Session) | Vevo ctrl",0.0006339953439680025,0.0012524504759419848,,Music,2023,7
65,Lil Kee - What You Sayin ft. Lil Baby,0.0004079726740155574,0.0018597462543078589,,Music,2022,7
66,Trueno - RAIN III (Visualizer),0.0003225837833084535,0.002915812027450012,,Music,2024,7
67,Brock Lesnar serves breakfast in ESPN cafeteria prank | ESPN Archives,0.00037066733134429947,0.000639437595626408,0.006762449309713438,Sports,2017,13
68,Totti with a funny penalty,0.0012688546242838258,0.00011659286653330965,0.006077217735141146,Sports,2007,13
69,"ROA, De La Rose, Luar La L, Yan Block, Omar Courtz - ETA RMX",0.0013891484066254098,0.00403764698128914,,Music,2024,7
70,JoJo Siwa - Guilty Pleasure (Official Music Video),0.0005842317245582162,0.0008740188417673642,,Music,2024,7
71,"Rema, Shallipopi - BENIN BOYS",0.0005727339031301787,0.002526576421086977,,Music,2024,7
72,Remember Me (기억해줘요 내 모든 날과 그때를),0.0007983504909279735,0.0004424001528401932,,Music,2024,7
73,Можно я с тобой (can i come with you),0.0003319627691540851,0.0020672725534269932,,Music,2024,7
74,Isadora Pompeo - Ovelhinha (Ao Vivo),0.00044130638354885596,0.0014944819612378688,,Music,2024,7
75,新時代 (ウタ from ONE PIECE FILM RED),0.0006531363371123918,0.0035039082469060577,,Music,2022,7
